	peaksig_y	peaksig_x	closet_genes	zrfus_genes
chr1-86470512-86471098	0.0863933201354597	0.0496383000132707	1700019O17Rik	NO
chr1-86486721-86488573	0.524671185448133	0.570719079657075	Ptma	NO
chr1-86501096-86501704	0.241422920971486	0.259341440325224	Ptma	NO
chr1-86524734-86527033	0.56389781514739	0.660427530654419	Ptma	NO
chr1-87213046-87214955	0.471782085857733	0.416343388229767	Eif4e2	NO
chr1-89069201-89071293	0.641757871035866	0.480555057696306	Sh3bp4	NO
chr1-89092181-89093238	0.231663513260026	0.154507024526911	Sh3bp4	NO
chr1-89102302-89104680	0.225428372169464	0.118575021432178	Sh3bp4	NO
chr1-90110512-90111747	0.104986628266607	0.103526003977186	Iqca	NO
chr1-90152658-90154341	0.224651153969888	0.179773407438632	Iqca	NO
chr1-90279093-90279903	0.215678484831127	0.0822569057791731	Gm28723	NO
chr1-90424023-90424769	0.059763642553908	0.0522728027771871	Gm28722	NO
chr1-90909002-90910128	0.154170169913111	0.0356147368447136	Mlph	NO
chr1-90974638-90975349	0.101913850993467	0.0859661708772931	Gm28199	NO
chr1-91052277-91053848	0.363869294845009	0.21847408279866	Lrrfip1	NO
chr1-91098521-91099267	0.103428003516437	0.0871513523497767	Lrrfip1	NO
chr1-91978280-91978755	0.118335959593354	0.0449667131754148	Hdac4	NO
chr1-92179232-92181301	0.566368945621397	0.624201607339047	Hdac4	NO
chr1-93209943-93210633	0.305647190687988	0.0712681171622052	E030010N08Rik	NO
chr1-93477676-93479903	0.567073424841563	0.625176224399306	Sept2	NO
chr1-93511202-93512784	0.466765476653169	0.355894213899561	Farp2	NO
chr1-93634436-93636633	0.471836645627487	0.566467686666792	Stk25	NO
chr1-93803190-93804994	0.519833899614499	0.568702795928648	Ing5	NO
chr1-105993377-105994160	0.34426928960137	0.25772887292225	Zcchc2	NO
chr1-118910511-118911625	0.616971151635579	0.156982281286184	Gli2	YES
chr1-119328199-119330291	0.951851536809563	0.190063278487177	Gm29455	NO
chr1-119437113-119438248	0.345397387397115	0.0509811733789514	Inhbb	YES
chr1-125687842-125688674	0.358953095341735	0.0517286427442079	Gpr39	NO
chr1-126829237-126829600	0.186130437389963	0.0431233248579679	Nckap5	NO
chr1-127773068-127774924	0.509467543345204	0.542188886611682	Ccnt2	NO
chr1-127868246-127869408	0.327942690136196	0.345302069203461	Rab3gap1	NO
chr1-131085871-131087168	0.107156226976133	0.170579933372531	Mapkapk2	NO
chr1-131200015-131200354	0.0435886994423187	0.0377277396165615	Rassf5	NO
chr1-132006815-132008642	0.431464487198654	0.47284800866806	Elk4	NO
chr1-132138831-132139918	0.133355113792241	0.132233958000294	Cdk18	NO
chr1-132315579-132316568	0.394642028878284	0.324981803958773	Nuak2	NO
chr1-132322255-132323156	0.375062260852398	0.224703944664625	Nuak2	NO
chr1-132355278-132356406	0.23098413197239	0.268506735247914	Tmcc2	NO
chr1-132541240-132541496	0.0928337914148422	0.0665775608772008	Cntn2	NO
chr1-132623421-132624251	0.063392555110624	0.088290472580654	Nfasc	NO
chr1-132922129-132922702	0.0661117960458612	0.0913376163744366	Lrrn2	NO
chr1-133130562-133132349	0.525872248466557	0.494874594832548	Ppp1r15b	NO
chr1-133302450-133302816	0.147863413582148	0.0450623930211229	Plekha6	NO
chr1-133362983-133364384	0.397128683801478	0.384771984096724	Etnk2	NO
chr1-133744487-133745317	0.154142131852521	0.0733645876427283	Atp2b4	NO
chr1-134062514-134063972	0.879190536747129	0.247634286920946	Btg2	NO
chr1-134816579-134816951	0.171302673719927	0.0638078354218223	Ppp1r12b	NO
chr1-135020966-135021488	0.109250301345039	0.0684136939576749	Lgr6	NO
chr1-135258199-135259433	0.408249489247588	0.178175293713708	Elf3	NO
chr1-135324535-135324990	0.0935709661479574	0.0307656643421346	Lmod1	NO
chr1-135731949-135732457	0.17664462869281	0.116591757172859	Csrp1	NO
chr1-135780915-135781649	0.153301171300516	0.134640543549766	Tnni1	NO
chr1-136130680-136132221	0.420519545185655	0.484708794903178	Kif21b	NO
chr1-136140000-136140604	0.340958571826061	0.154558770357994	Kif21b	NO
chr1-136414269-136416118	0.512560261873882	0.461556109887468	Ddx59	NO
chr1-136624034-136625945	0.488077311045978	0.482100256949307	Zfp281	NO
chr1-136683122-136684643	0.0852792669055221	0.0642384691036757	Gm19705	NO
chr1-139090499-139091416	0.244833790367588	0.0622120776707967	Dennd1b	NO
chr1-153190999-153192698	0.479595663866542	0.163132180568547	Lamc2	NO
chr1-153641212-153642829	0.324120745536076	0.323627511493428	Rgs8	NO
chr1-155097924-155099964	0.477717164427698	0.511223008561997	Ier5	NO
chr1-156615628-156616116	0.0944057783380134	0.0542933391387062	Abl2	NO
chr1-156996500-156998344	0.210918125615691	0.233375324919825	Gm28694	NO
chr1-157081521-157081745	0.0758342658030096	0.0643661440439364	Tex35	NO
chr1-161069895-161071782	0.453572901803642	0.48905359835014	Dars2	NO
chr1-162217402-162218100	0.0659539264686574	0.0339493689016041	Dnm3	NO
chr1-163279962-163281057	0.263151459807506	0.0843129966467104	Prrx1	NO
chr1-167349305-167350847	0.41123625219482	0.311025947776495	Aldh9a1	NO
chr1-168245466-168246018	0.46301762602839	0.150022507672349	Pbx1	NO
chr1-168246735-168247501	0.15740644994535	0.228228837158346	Pbx1	NO
chr1-170173929-170175590	0.503343225072876	0.522191872469757	Uap1	NO
chr1-171220527-171222992	0.531700137828718	0.450024030895955	Tomm40l	NO
chr1-172064451-172065340	0.0763088269473363	0.13202264042348	Ncstn	NO
chr1-172490057-172490881	0.248924117169326	0.18372326264579	Igsf9	NO
chr1-175691693-175694024	0.588779128793565	0.528977021909008	Opn3	NO
chr1-176812983-176815136	0.580426494802111	0.566203765503207	Sdccag8	NO
chr1-177441329-177443312	0.6460106898255	0.552299392972034	Zbtb18	NO
chr1-180567915-180569817	0.441896568541912	0.464887901483011	Parp1	NO
chr1-180812958-180814549	0.61146082690091	0.565028990872352	H3f3a	NO
chr1-180888342-180889466	0.191440238289934	0.0775132941130781	Lefty2	NO
chr1-180903693-180904949	0.39514075667984	0.401183697505918	Pycr2	NO
chr1-182139926-182140879	0.163254498676273	0.116443366731603	Srp9	NO
chr1-182408058-182410037	0.491187449808445	0.551483173109581	Trp53bp2	NO
chr1-182509056-182509905	0.0741969051272572	0.0677068554068249	Capn2	NO
chr1-182527757-182528922	0.102105076897481	0.111913202852742	Capn2	NO
chr1-185454234-185455965	0.330882003454595	0.323096198109672	Slc30a10	NO
chr1-186448574-186449524	0.10651805688018	0.0991351148738591	RP23-28F18.1	NO
chr1-189727323-189728840	0.399550651312179	0.134244642175467	Ptpn14	NO
chr1-191025045-191027034	0.475172506114166	0.522961514433055	Mfsd7b	NO
chr1-191395938-191398134	0.549787703915755	0.596424320535976	Ppp2r5a	NO
chr1-192696302-192697564	0.0551719305387862	0.0633101435761632	Hhat	NO
chr1-192854493-192856154	0.387046525903901	0.355114593441642	Sertad4	NO
chr2-3418282-3419347	0.337014666961677	0.29492519876043	Meig1	NO
chr2-4285977-4286957	0.138589384341518	0.0724249308068341	Frmd4a	NO
chr2-4298632-4299185	0.217390191285206	0.0728783885672926	Frmd4a	NO
chr2-4975558-4976230	0.024593604394159	0.0788679992207457	Ucma	NO
chr2-5314361-5315078	0.167459409168166	0.0462985557902363	Camk1d	NO
chr2-6212389-6213635	0.20969434417621	0.202443262238905	Echdc3	NO
chr2-6273383-6274288	0.0995330448611777	0.0555257903920572	Gm13383	NO
chr2-9879237-9879853	0.441106540751325	0.131904437790422	Gata3	NO
chr2-11776777-11778935	0.524418633256409	0.57986310962038	Ankrd16	NO
chr2-13384587-13386199	0.533930785673638	0.120080782744129	Cubn	NO
chr2-13398464-13399839	0.707065341537404	0.0761422147765992	Cubn	NO
chr2-13573207-13575786	0.669088404087711	0.359441321604578	Vim	NO
chr2-18055934-18058035	0.665145681347313	0.482475804798416	1810059C17Rik	NO
chr2-24407791-24408554	0.186924213963241	0.0527556830751754	Psd4	NO
chr2-24918542-24920114	0.462962662763851	0.492338818310914	Ehmt1	NO
chr2-25167593-25168843	0.730429614974868	0.162105602320951	Nrarp	NO
chr2-25180123-25181146	0.574223758110875	0.355150412105459	Nrarp	NO
chr2-25223805-25225525	0.573280443968762	0.592025743312781	Tubb4b	NO
chr2-25371343-25373266	0.448510327473626	0.34383186894686	Sapcd2	NO
chr2-25460063-25461617	0.400342855480634	0.444864796261408	BC029214	NO
chr2-25546027-25547484	0.465631860452312	0.479031461767405	Traf2	NO
chr2-25557081-25558560	0.394742352922532	0.438132863293937	Edf1	NO
chr2-26236649-26237843	0.539254024400399	0.334527831848957	Qsox2	NO
chr2-26444692-26446415	0.571985816705449	0.633087860793295	Sec16a	NO
chr2-26487063-26488080	0.621495608324241	0.147374888429181	Notch1	NO
chr2-26501591-26502609	0.71445853357821	0.162202735486692	Notch1	NO
chr2-26503436-26504024	0.628284328868747	0.138462808443069	Notch1	NO
chr2-26909953-26911363	0.478537552020162	0.499846870084134	Med22	NO
chr2-26932558-26934302	0.509015014131472	0.445971556466805	Surf4	NO
chr2-27027403-27028434	0.266514136425125	0.394720659291408	Slc2a6	NO
chr2-27058480-27059530	0.0921208758773474	0.0565673785135339	Tmem8c	NO
chr2-27288656-27289580	0.194047110132119	0.195753837791382	Vav2	YES
chr2-27425663-27427402	0.435503695100881	0.360633687757412	Vav2	YES
chr2-27441743-27443115	0.44792511994081	0.450435901890444	Brd3	NO
chr2-27474613-27476715	0.592627949990753	0.476620382101012	Brd3	NO
chr2-27719592-27719947	0.105585735726775	0.045401427246991	Rxra	YES
chr2-27771626-27772229	0.147551986166897	0.0822963965800966	Rxra	YES
chr2-27813174-27813893	0.323256024328904	0.0499660571924359	Rxra	YES
chr2-27835825-27836595	0.0783303651047429	0.0974437964895797	2810430I11Rik	NO
chr2-27858259-27858863	0.0592649116367047	0.0529031407135079	2810430I11Rik	NO
chr2-27876387-27877345	0.096465981757837	0.154012142251101	2810430I11Rik	NO
chr2-27934086-27934680	0.208618186583419	0.0799808888219494	Col5a1	NO
chr2-28525248-28526076	0.159709359503055	0.184569355919622	Ralgds	NO
chr2-28532961-28533899	0.323956957864815	0.271074895612297	Ralgds	NO
chr2-29199907-29200509	0.0741420341124558	0.107103980882061	Ntng2	NO
chr2-29868522-29870637	0.528028997654783	0.321174674016434	Cercam	NO
chr2-29888930-29890981	0.604235368344463	0.491284418281237	Odf2	NO
chr2-30092717-30094540	0.441714794728055	0.432074277042362	Zdhhc12	NO
chr2-30170870-30172441	0.328081991340296	0.372720588479453	Endog	NO
chr2-30265808-30266105	0.095423525441182	0.0518414726832344	Gm28035	NO
chr2-30358568-30359552	0.427418240190184	0.43312856842837	Sh3glb2	NO
chr2-30363722-30364870	0.478809240306239	0.484779720092402	Fam73b	NO
chr2-30473314-30474628	0.529141494731089	0.456039636315332	Ier5l	NO
chr2-30646916-30648747	0.328384606407722	0.451551702814913	9330198N18Rik	NO
chr2-30711363-30712277	0.374618407896955	0.352403778042515	Gm14488	NO
chr2-30718091-30719391	0.496494067601343	0.466855983930508	Gm14488	NO
chr2-30743273-30744383	0.420901405855214	0.182067385682858	Gm14488	NO
chr2-30757981-30758915	0.487854504485248	0.136740626801994	1700001O22Rik	NO
chr2-30807107-30808591	0.59898783292361	0.453875317902587	Ntmt1	NO
chr2-30823276-30823722	0.228499041768929	0.0773980948539781	Asb6	NO
chr2-30885461-30886225	0.208891408953444	0.0612256807912068	Ptges	NO
chr2-30981379-30982948	0.506784524474011	0.576715324525207	BC005624	NO
chr2-31448723-31450138	0.297814840566503	0.12675724817406	Hmcn2	NO
chr2-31469410-31470838	0.185183472568801	0.196038868998885	Ass1	NO
chr2-31687545-31689110	0.441649630834654	0.470180037878578	Abl1	NO
chr2-31759534-31760491	0.436049256099832	0.154778988474575	Abl1	NO
chr2-31962048-31963799	0.885059159408338	0.0930013597347936	Aif1l	YES
chr2-32287383-32288975	0.485832691209523	0.526375233208919	Golga2	NO
chr2-32574833-32575997	0.231868067004222	0.323277075879084	Pip5kl1	NO
chr2-32586663-32587427	0.399746312809645	0.304592051728354	St6galnac4	NO
chr2-32628757-32629676	0.320191695034641	0.151040135889225	Ak1	NO
chr2-32631760-32632049	0.157541929290039	0.114242191102242	Ak1	NO
chr2-32693320-32694603	0.460955029074701	0.490025021328898	Fpgs	NO
chr2-32720747-32721051	0.0501922242748403	0.0364397975899849	Sh2d3c	NO
chr2-32726964-32727870	0.421107606502825	0.29175241394488	Sh2d3c	NO
chr2-32774721-32776533	0.40282349473961	0.474377452878069	Ttc16	NO
chr2-32845806-32847664	0.477104082583126	0.535840202608084	Stxbp1	NO
chr2-32966531-32967757	0.401629638739352	0.37327546652146	Rpl12	NO
chr2-32981124-32982926	0.469278899581298	0.341534181757796	Slc2a8	NO
chr2-33129711-33132107	0.670969113420792	0.469202336857818	Garnl3	NO
chr2-33215241-33217023	0.667519569099823	0.263509714803307	Angptl2	NO
chr2-33565874-33566224	0.153734569401479	0.0534816342055087	Lmx1b	NO
chr2-33585086-33585514	0.0859185855444494	0.0923631213920395	Lmx1b	NO
chr2-33605181-33605461	0.0306245450507573	0.057069457895959	Lmx1b	NO
chr2-34771140-34772783	0.523469777827037	0.55279521318596	Hspa5	NO
chr2-35539133-35539914	0.141337414689784	0.143273439759912	Gm13446	NO
chr2-35557632-35559615	0.137649566088762	0.10946897741828	Dab2ip	NO
chr2-35728245-35729330	0.149558162550617	0.13556995318003	Dab2ip	NO
chr2-37422003-37423844	0.419441738978128	0.502653981514422	Rc3h2	NO
chr2-37442387-37443756	0.449296539766087	0.349242722210878	Zbtb26	NO
chr2-37451238-37453338	0.400622957938408	0.46635981811769	Rabgap1	NO
chr2-37841676-37843082	0.559518630330984	0.172091712790453	Dennd1a	NO
chr2-38367026-38367459	0.133119672661586	0.0796768561450425	Lhx2	NO
chr2-38515334-38515816	0.579754583399791	0.0457007084210569	Nek6	NO
chr2-38530734-38531302	0.228446064535247	0.0713093544881263	Nek6	NO
chr2-38614964-38615395	0.106552741638597	0.0563398586508363	Psmb7	NO
chr2-38697039-38697729	0.0999120424990525	0.0921542597006976	Nr5a1	NO
chr2-38770671-38771689	0.0723848853143429	0.052040372215088	Nr6a1	NO
chr2-50368268-50369578	0.361087083123796	0.104471870996692	Gm13483	NO
chr2-52804238-52804974	0.191386918290183	0.0357425942599612	Fmnl2	NO
chr2-53190561-53192677	0.542169853266638	0.605024333846272	Prpf40a	NO
chr2-66255763-66257754	0.3796054216743	0.502979570144738	Ttc21b	NO
chr2-69722023-69723701	0.308067057628434	0.446899921574017	Ppig	NO
chr2-70159499-70160001	0.199191892020751	0.0651980886802753	Myo3b	NO
chr2-73528595-73530298	0.374219955486145	0.201403948386495	Wipf1	NO
chr2-75703130-75705429	0.686754259850039	0.225840983142783	Nfe2l2	NO
chr2-91399047-91400503	0.498964109190911	0.10331955392793	1110051M20Rik	NO
chr2-91649173-91650641	0.396566986599878	0.452827890503586	Zfp408	NO
chr2-91930837-91932639	0.555992442646566	0.32334374203034	Mdk	NO
chr2-92374407-92375762	0.454239786869196	0.49900591175672	Gyltl1b	NO
chr2-92431045-92431592	0.0866351755729394	0.242934706811852	Cry2	NO
chr2-93013632-93015543	0.429296752943137	0.238892664391771	Prdm11	NO
chr2-93226504-93228951	0.884304669497284	0.283639874248803	Tspan18	NO
chr2-93461823-93463110	0.624131895701293	0.199322344213865	Cd82	YES
chr2-93537128-93538631	0.15709522579591	0.0806096818566196	Gm10803	NO
chr2-94157168-94158928	0.541428464539009	0.587674253962373	Hsd17b12	NO
chr2-101722148-101723812	0.271306559271522	0.0916219944289091	Prr5l	NO
chr2-101862116-101863619	0.383464144349263	0.0514542711688168	Prr5l	NO
chr2-101982966-101983715	0.332443502570181	0.105781053895267	Ldlrad3	NO
chr2-102900773-102902036	0.228375605139918	0.0666544903475001	Cd44	NO
chr2-104121815-104123526	0.333119195128955	0.308739710056475	A930018P22Rik	NO
chr2-104741928-104743473	0.383540856595812	0.296784949393894	Depdc7	NO
chr2-105108273-105109323	0.410564833446968	0.118403190004375	Gm11060	NO
chr2-106854261-106855344	0.343590312606214	0.120779210219511	Mpped2	NO
chr2-112378526-112379757	0.437449155656695	0.344185446066954	Katnbl1	NO
chr2-118110376-118112124	0.369801590707157	0.185123289004298	Thbs1	YES
chr2-118387471-118389280	0.556922752859629	0.488439411979927	Eif2ak4	NO
chr2-119299877-119301615	0.215431225704799	0.183944029037194	Vps18	NO
chr2-119350245-119351702	0.238289557138198	0.395365338728844	Chac1	NO
chr2-121007586-121008968	0.315629413664598	0.27054139434127	Ccndbp1	NO
chr2-122466902-122468243	0.429777212438009	0.226521187930397	Slc28a2	NO
chr2-123812116-123814377	0.507333098971183	0.114448102422149	Sema6d	NO
chr2-124764117-124764832	0.147788463711739	0.0448282150015835	Gm13994	NO
chr2-127133146-127134504	0.434499647865531	0.326984184749379	Ncaph	NO
chr2-127142598-127143747	0.307274673582942	0.146788019538227	Itpripl1	NO
chr2-127269491-127271379	0.481775718501061	0.473443461667326	Stard7	NO
chr2-128284688-128286292	0.540104601418869	0.126233383465895	Gm14005	NO
chr2-128312138-128312899	0.18685094796453	0.0819554242959584	Gm14005	NO
chr2-128395256-128396289	0.250795020122057	0.187385330981054	Gm14005	NO
chr2-128697829-128699605	0.456396799497021	0.143647107494601	Mertk	NO
chr2-129296463-129298044	0.400307484322913	0.501677955049526	Ckap2l	NO
chr2-129592359-129594344	0.469476766887402	0.35855009109368	Sirpa	NO
chr2-130663587-130664958	0.440562127822712	0.463201581149816	Ddrgk1	NO
chr2-131889021-131889866	0.0756692746332807	0.11099268783692	Prnp	NO
chr2-132252272-132253797	0.576534751581349	0.525056498484385	Pcna	NO
chr2-133554245-133555113	0.163189137237325	0.0942107154811283	Bmp2	NO
chr2-137109586-137110859	0.612781202078639	0.0724398496381557	Jag1	YES
chr2-139608272-139610130	0.135414950383982	0.0873663864690272	Gm14066	NO
chr2-141954528-141955906	0.435807694455153	0.0655936727943868	Macrod2	NO
chr2-143914319-143916402	0.475468248010679	0.531775249548365	Dstn	NO
chr2-144009824-144011910	0.543252505274651	0.56539330783933	Rrbp1	NO
chr2-145769735-145770651	0.167558899123335	0.047490487479042	Rin2	NO
chr2-146510792-146512822	0.552343200731892	0.527656243203773	Ralgapa2	NO
chr2-146810439-146811135	0.22537162679048	0.055619257762809	Gm14114	NO
chr2-148679227-148679786	0.321792874418224	0.178260295360951	Gzf1	NO
chr2-148680499-148681930	0.473010196290428	0.450795937705447	Gzf1	NO
chr2-150788782-150789402	0.371274546054842	0.0553781492077059	Pygb	NO
chr2-152331724-152333003	0.406085470799155	0.364740018819906	Rbck1	NO
chr2-152343056-152344727	0.263038398266518	0.240758271815948	Trib3	NO
chr2-152349804-152350362	0.0840639084821727	0.0423139315299725	Gm14164	NO
chr2-152405311-152406738	0.464875271894301	0.362725458326147	Zcchc3	NO
chr2-152785470-152786251	0.124747210941168	0.0482550270184256	Bcl2l1	NO
chr2-152830271-152831913	0.554058581568549	0.545077562933952	Bcl2l1	NO
chr2-152846980-152848450	0.416568763102106	0.381561302200469	Tpx2	NO
chr2-154390024-154390801	0.0632678997550321	0.044988840136388	Snta1	NO
chr2-154435555-154437185	0.548654688446778	0.510735039914374	Cbfa2t2	NO
chr2-154568171-154570459	0.567500823565693	0.464594939333476	E2f1	NO
chr2-154602874-154604411	0.443478684560787	0.438502123587723	Pxmp4	NO
chr2-155073455-155075282	0.445155502984002	0.401511515781674	Ahcy	NO
chr2-155517334-155518723	0.494024494409928	0.490924256580108	Acss2	NO
chr2-155818429-155820104	0.356777910026816	0.437728051568204	Eif6	NO
chr2-157058245-157059384	0.509879558759117	0.293621417626888	Soga1	NO
chr2-157134266-157136004	0.445221258239624	0.221410545433219	Samhd1	NO
chr2-157278133-157279836	0.46871243605083	0.488197256309558	Mroh8	NO
chr2-158179497-158180199	0.108544401744761	0.158161678996188	D630003M21Rik	NO
chr2-158294563-158296159	0.11596380389937	0.0550374049151608	Bpi	NO
chr2-160366002-160368240	0.438625466514877	0.487160177411894	Mafb	NO
chr2-160871795-160873637	0.546556201979068	0.474450859694697	Zhx3	NO
chr2-161108184-161109934	0.553589260628918	0.531478921257864	Chd6	NO
chr2-163016362-163018022	0.356419337478539	0.424163224368051	Ift52	NO
chr2-163053812-163055246	0.504949938137798	0.314986287924178	Mybl2	NO
chr2-164366664-164367197	0.124392247731701	0.0337675179306495	Slpi	NO
chr2-164442484-164444145	0.397032696585229	0.170544603180606	Sdc4	NO
chr2-164460476-164461642	0.419034619713047	0.461458223734969	Gm20458	NO
chr2-164804170-164805669	0.400501502696219	0.487455060206759	Acot8	NO
chr2-165055308-165055768	0.0610382772798359	0.0665830077188677	Cd40	NO
chr2-165287060-165289150	0.467303573602922	0.492134208102564	Slc35c2	NO
chr2-165387384-165388504	0.37155483388399	0.395465887065857	Zfp334	NO
chr2-166165255-166165736	0.0345022253276253	0.0709417682863252	Sulf2	NO
chr2-166174809-166176117	0.105066217465907	0.148523776619528	Gm22687	NO
chr2-166488189-166489856	0.142340185532167	0.150938884144386	Gm14267	NO
chr2-166516867-166517670	0.478488015220521	0.105885275021193	Gm14267	NO
chr2-166905126-166907154	0.505065172716315	0.530416429998968	Cse1l	NO
chr2-167348334-167349915	0.589761944645729	0.537776279513465	B4galt5	NO
chr2-167485311-167486253	0.134889351728819	0.12106864007326	Spata2	NO
chr2-167537464-167538581	0.407857416048448	0.258855268353665	Snai1	NO
chr2-167631126-167632464	0.478699531739658	0.484375354842301	Ube2v1	NO
chr2-167688050-167690141	0.467927668051054	0.276287884351619	Cebpb	NO
chr2-167746935-167747933	0.184034583340036	0.0830081698636725	A530013C23Rik	NO
chr2-167777101-167778353	0.331777653892723	0.174375837094564	Gm14321	NO
chr2-167789305-167789707	0.0492212195880319	0.0383574877204863	9230111E07Rik	NO
chr2-167834308-167835171	0.266885099247362	0.067439400560529	1200007C13Rik	NO
chr2-168045482-168046015	0.372702428776528	0.0549009647818949	Fam65c	NO
chr2-168072418-168073337	0.19798906615562	0.10280475208335	Pard6b	NO
chr2-168153889-168154900	0.402729877462829	0.227250347374532	E130018N17Rik	NO
chr2-168158883-168159702	0.262342542941752	0.125055607353537	E130018N17Rik	NO
chr2-168170249-168170537	0.100221764249501	0.0596029468659511	Gm20716	NO
chr2-168229721-168231714	0.315597688343604	0.411008621156975	Dpm1	NO
chr2-168524441-168526041	0.674391051242067	0.181804407379851	Nfatc2	NO
chr2-168543976-168544810	0.0852493268708703	0.101378714250357	Nfatc2	NO
chr2-170307017-170308277	0.389978305778777	0.182947913968905	Bcas1	NO
chr2-170549179-170551253	0.674063791045583	0.211044242804757	4930470P17Rik	NO
chr2-172344848-172346323	0.674761121290437	0.4648914598457	Fam210b	NO
chr2-172467893-172469007	0.805421600659101	0.106755286286598	Rtfdc1	NO
chr2-172473482-172473795	0.196208584384067	0.0457204957974997	Fam209	NO
chr2-172727643-172729184	0.946452977452512	0.20857810916761	Bmp7	NO
chr2-173257383-173258249	0.49883764872785	0.186893336298909	Pmepa1	NO
chr2-173351650-173352903	0.165869330333848	0.102019216199198	Gm14642	NO
chr2-173607935-173608787	0.453793407928905	0.0684758513458237	Ankrd60	NO
chr2-174343669-174344501	0.461612785324501	0.112943228503989	Gnas	NO
chr2-178641997-178642999	0.108327065069234	0.0815286869169401	Cdh26	NO
chr2-178744542-178746074	0.0492578631639883	0.119813949221438	Cdh26	NO
chr2-178758232-178758763	0.0968316512029968	0.118232233524631	Cdh26	NO
chr2-180117525-180119939	0.573297158101683	0.476519602988595	Osbpl2	NO
chr2-180170165-180172009	0.50045287597918	0.522548803398552	Adrm1	NO
chr2-180214261-180215416	0.111776567675986	0.0594699680183088	Lama5	YES
